Lambda,D_rot,score
1000.0,0.0,0.9655
1000.0,0.0,0.9652
1000.0,0.0,0.9664
1000.0,0.0,0.967
1000.0,0.0,0.9708
1000.0,0.0,0.9644
1000.0,0.0,0.9651
1000.0,0.0,0.9676
1000.0,0.0,0.9651
1000.0,0.0,0.9649
1000.0,0.0,0.9678
1000.0,0.0,0.9672
1000.0,0.0,0.9688
1000.0,0.0,0.9689
1000.0,0.0,0.9683
1000.0,0.0,0.9691
1000.0,0.0,0.9654
1000.0,0.0,0.9657
1000.0,0.0,0.9657
1000.0,0.0,0.9664
1000.0,0.0,0.9671
1000.0,0.0,0.969
1000.0,0.0,0.9685
1000.0,0.0,0.9704
1000.0,0.0,0.9686
1000.0,0.0,0.9685
1000.0,0.0,0.9679
1000.0,0.0,0.9676
1000.0,0.0,0.9678
1000.0,0.0,0.967
1000.0,0.0,0.9657
1000.0,0.0,0.9678
1000.0,0.0,0.968
1000.0,0.0,0.9683
1000.0,0.0,0.966
1000.0,0.0,0.9695
1000.0,0.0,0.9682
1000.0,0.0,0.9656
10000.0,0.0,0.9911
10000.0,0.0,0.9901
10000.0,0.0,0.989
10000.0,0.0,0.9896
10000.0,0.0,0.9905
10000.0,0.0,0.9882
10000.0,0.0,0.9905
10000.0,0.0,0.9899
10000.0,0.0,0.9903
10000.0,0.0,0.9904
10000.0,0.0,0.9907
10000.0,0.0,0.9897
10000.0,0.0,0.9893
10000.0,0.0,0.9908
10000.0,0.0,0.9894
10000.0,0.0,0.9895
10000.0,0.0,0.9901
10000.0,0.0,0.9906
10000.0,0.0,0.9884
10000.0,0.0,0.9906
10000.0,0.0,0.9891
10000.0,0.0,0.9912
10000.0,0.0,0.9895
10000.0,0.0,0.9896
10000.0,0.0,0.9895
10000.0,0.0,0.99
10000.0,0.0,0.9904
10000.0,0.0,0.99
10000.0,0.0,0.9905
10000.0,0.0,0.9908
10000.0,0.0,0.9899
10000.0,0.0,0.9921
10000.0,0.0,0.9906
10000.0,0.0,0.9891
10000.0,0.0,0.9899
10000.0,0.0,0.9903
10000.0,0.0,0.9901
10000.0,0.0,0.9897
10000.0,0.0,0.9907
10000.0,0.0,0.9898
10000.0,0.0,0.9903
10000.0,0.0,0.9902
10000.0,0.0,0.9888
10000.0,0.0,0.9908
10000.0,0.0,0.9903
10000.0,0.0,0.9889
10000.0,0.0,0.9901
10000.0,0.0,0.99
10000.0,0.0,0.9882
10000.0,0.0,0.9913
10000.0,0.0,0.9914
10000.0,0.0,0.9912
10000.0,0.0,0.9907
10000.0,0.0,0.9902
10000.0,0.0,0.9896
10000.0,0.0,0.989
10000.0,0.0,0.99
10000.0,0.0,0.9903
10000.0,0.0,0.9895
10000.0,0.0,0.9904
10000.0,0.0,0.9909
10000.0,0.0,0.9899
10000.0,0.0,0.9903
10000.0,0.0,0.9899
10000.0,0.0,0.9903
10000.0,0.0,0.9913
10000.0,0.0,0.99
10000.0,0.0,0.9917
10000.0,0.0,0.9884
10000.0,0.0,0.9893
10000.0,0.0,0.9888
10000.0,0.0,0.9888
10000.0,0.0,0.9897
10000.0,0.0,0.9909
10000.0,0.0,0.9892
10000.0,0.0,0.9904
10000.0,0.0,0.9896
10000.0,0.0,0.9913
10000.0,0.0,0.9897
10000.0,0.0,0.9905
10000.0,0.0,0.9898
10000.0,0.0,0.9898
10000.0,0.0,0.991
10000.0,0.0,0.9904
10000.0,0.0,0.9894
10000.0,0.0,0.9899
10000.0,0.0,0.99
10000.0,0.0,0.9904
10000.0,0.0,0.9905
10000.0,0.0,0.9887
10000.0,0.0,0.9911
10000.0,0.0,0.9901
10000.0,0.0,0.99
10000.0,0.0,0.9886
10000.0,0.0,0.9899
10000.0,0.0,0.989
10000.0,0.0,0.9904
10000.0,0.0,0.9894
10000.0,0.0,0.989
